WRN 2026-08-12T21:53:10.943 ui.90981   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-12T21:53:10.943 ui.90981   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-12T21:53:10.943 ui.90981   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-12T21:53:10.943 ui.90981   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-12T21:53:10.943 ui.90981   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-19T15:54:22.331 ui.62375   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-19T15:54:22.331 ui.62375   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-19T15:54:22.331 ui.62375   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-19T15:54:22.331 ui.62375   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-19T15:54:22.331 ui.62375   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-26T12:55:28.584 ui.56779   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-26T12:55:28.584 ui.56779   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-26T12:55:28.584 ui.56779   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-26T12:55:28.584 ui.56779   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-26T12:55:28.585 ui.56779   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
